candidate_mode,candidate_text,occurrences,share,matched_exact_rule,matched_regex_rule,matched_phrase_rule
last_sentence,"варианты на разный бюджет выгодные предложения_x000d_ для семей с детьми готовое жилье в 22 кварта-_x000d_ лах москвы и области «серия плюс»: умные_x000d_ планировки и архитектура самые популярные кварта-_x000d_ лы пик в москве и области реклама, пао «пик сз»",43871,0.9728141561522939,False,False,False
last_sentence,"таблица медалей олимпиады варианты на разный бюджет выгодные предложения_x000d_ для семей с детьми готовое жилье в 22 кварта-_x000d_ лах москвы и области «серия плюс»: умные_x000d_ планировки и архитектура самые популярные кварта-_x000d_ лы пик в москве и области реклама, пао «пик сз»",28,0.0006208838725414108,False,False,False
last_sentence,"таблица медалей олимпиады расписание соревнований с участием россиян на олимпиаде варианты на разный бюджет выгодные предложения_x000d_ для семей с детьми готовое жилье в 22 кварта-_x000d_ лах москвы и области «серия плюс»: умные_x000d_ планировки и архитектура самые популярные кварта-_x000d_ лы пик в москве и области реклама, пао «пик сз»",13,0.0002882675122513693,False,False,False
last_sentence,"sofascore варианты на разный бюджет выгодные предложения_x000d_ для семей с детьми готовое жилье в 22 кварта-_x000d_ лах москвы и области «серия плюс»: умные_x000d_ планировки и архитектура самые популярные кварта-_x000d_ лы пик в москве и области реклама, пао «пик сз»",12,0.0002660930882320332,False,False,False
last_sentence,"в результате теракта погибли 145 человек, в том числе шестеро детей, более 550 пострадали.",6,0.0001330465441160166,False,False,False
last_sentence,"в результате теракта в «крокус сити холле», по данным следственного комитета, погибли 115 человек, более 120 пострадали.",4,8.869769607734439e-05,False,False,False
last_sentence,24 марта в россии объявлен днем общенационального траура.,4,8.869769607734439e-05,False,False,False
last_sentence,киев опроверг причастность к атаке.,4,8.869769607734439e-05,False,False,False
last_sentence,киев заявлял о непричастности к теракту в «крокусе».,4,8.869769607734439e-05,False,False,False
last_sentence,"деловая программа поделена на четыре тематических блока: «переход к многополярной модели мировой экономики», «российская экономика: цели и задачи нового цикла», «технологии, обеспечивающие лидерство» и «здоровое общество, традиционные ценности и социальное развитие — приоритеты государства».",4,8.869769607734439e-05,False,False,False
last_sentence,ск возбудил дело о теракте.,3,6.65232720580083e-05,False,False,False
last_sentence,в россии объявили 24 марта днем траура.,3,6.65232720580083e-05,False,False,False
last_sentence,ответственность за теракт взяла на себя запрещенная в россии террористическая организация «исламское государство».,3,6.65232720580083e-05,False,False,False
last_sentence,"24 марта по всей россии объявлен траур, отменены культурные и спортивные мероприятия.",3,6.65232720580083e-05,False,False,False
last_sentence,"четверых участников нападения, которых поймали в брянской области, суд арестовал до 22 мая.",3,6.65232720580083e-05,False,False,False
last_sentence,их задержали 23 марта в брянской области возле деревни хацунь.,3,6.65232720580083e-05,False,False,False
last_sentence,в офисе президента украины заявили о непричастности к теракту.,3,6.65232720580083e-05,False,False,False
last_sentence,11-летнюю сестру ильи ирину задело боковым зеркалом машины.,3,6.65232720580083e-05,False,False,False
last_sentence,"арестованы десять из них, в том числе четверо непосредственных исполнителей — граждане таджикистана.",3,6.65232720580083e-05,False,False,False
last_sentence,"материал дополняется варианты на разный бюджет выгодные предложения_x000d_ для семей с детьми готовое жилье в 22 кварта-_x000d_ лах москвы и области «серия плюс»: умные_x000d_ планировки и архитектура самые популярные кварта-_x000d_ лы пик в москве и области реклама, пао «пик сз»",3,6.65232720580083e-05,False,False,False
last_sentence,человек из 136 стран.,3,6.65232720580083e-05,False,False,False
last_sentence,на форуме выступит президент россии владимир путин.,3,6.65232720580083e-05,False,False,False
last_sentence,"в утвержденном в 2020 году документе «основы государственной политики в области ядерного сдерживания» закреплены четыре условия, при которых россия могла бы применить ядерное оружие: варианты на разный бюджет выгодные предложения_x000d_ для семей с детьми готовое жилье в 22 кварта-_x000d_ лах москвы и области «серия плюс»: умные_x000d_ планировки и архитектура самые популярные кварта-_x000d_ лы пик в москве и области реклама, пао «пик сз»",3,6.65232720580083e-05,False,False,False
